DocumentID,ProjectName,DocumentName,DocumentURI,HTTPStatusCode,ErrorReason,Desc,Notes,Category,AddedOn
2610,BPL CPAB,BPL BeWell app development Schedule,https://docs.google.com/spreadsheets/d/1IUtbgTE04OomuE_rAKHK6_FYhQq1n68m-8eeZv3_E5w/edit#gid=0,410,HTTP 410,,,General,03-07-2023
3467,NEERS Hardware and Firmware,Report on Threshold Electrotonus Protocol Implementation,https://docs.google.com/document/d/1NoThQDWOmNdvE41nkMRYS5AJknuWuneoHWzqiCW8xkE/edit#heading=h.ktlgs2b9rltt,410,HTTP 410,,,TechDoc,15-11-2023
3673,FDA iBSM Sibel App,iBSM-URS v0.1,https://docs.google.com/document/d/1dYnDFob8EY2ZHax1FvRfrn2-kVegoe5nF8_YLmsD_rM/edit,410,HTTP 410,,,General,12-12-2023
3674,FDA iBSM Sibel App,iBSM-PRS v 0.2,https://docs.google.com/document/d/1e1MqL-mDhNlo8bMnB95Oa7-uJ8GCaq37Jf9TqfQcPgI/edit,410,HTTP 410,,,General,12-12-2023
3937,NEERS Hardware and Firmware,NEERSV2.1.1 FB Response Reply for seward mail on NEERS box testing,https://docs.google.com/document/d/1Bc0jrNbB_9ig1d5ICAgc9oNWe4QAFMJR3R_Z7SyaZ_k/edit#heading=h.o11b5aqaxa83,410,HTTP 410,,,TechDoc,30-01-2024
5628,General,80 beats Vascular sensor & edge Device ,https://docs.google.com/spreadsheets/d/1o1Mh3WBE0g2srT6wDbp4zQb9Tcx0J7HmrehmEUsLtOg/edit?usp=drivesdk,410,HTTP 410,,,TempFiles,22-11-2024
5678,FamilyDocs,testing results,https://docs.google.com/spreadsheets/d/1674bMCu4tdPTF3cBIkEDg4D2l_3e_VuXegjMHj_wywM/edit?usp=drivesdk,410,HTTP 410,"The document highlights usability issues in a mobile application, including inconsistent back button behavior, unreliable sign-in, and problems with document upload, visibility, and layout.  Many suggested improvements focus on user guidance, error prevention, and interface clarity.",,General,22-11-2024
5853,General,Sibel Sensor Testing Status,https://docs.google.com/spreadsheets/d/1hS-vRsEFbDC5TpF3ByeiAr4EFmuquCLc8pY2TEQpgac/edit?usp=drivesdk,410,HTTP 410,,,TempFiles,22-11-2024
5856,FDA iBSM Sibel App,Cybersecurity & wireless connectivity Requirements Questionnaire for IFU,https://docs.google.com/document/d/1GqjHkLIJuyjK519A4KRCgG3XXJiZbbc_oI_ubyqEYOE/edit?usp=drivesdk,410,HTTP 410,"This cybersecurity questionnaire assesses the security of the iBSM system (tablet PC, external server, sensors), covering secure app settings, MDM, port closure, kiosk mode, password configurations, incident response (contacting iOrbit), encryption (Ratnakar's instructions), secure decommissioning, forensic evidence capture (log files), wireless security, and sensor separation distances.",,Medical Device Security,22-11-2024
5930,General,DiaHome.pptx,https://docs.google.com/presentation/d/1R4__nWWJulw0l9YlditBf3meI1elpciw/edit?usp=drivesdk&ouid=114256007696078298953&rtpof=true&sd=true,410,HTTP 410,,,TempFiles,22-11-2024
6213,FamilyDocs,work task,https://docs.google.com/spreadsheets/d/1UCuNzwtjCUTo_pzG3JvGNdSc5IuRi15YfpSu1NwfRFw/edit?usp=drivesdk,410,HTTP 410,"The document describes numerous bugs and performance issues in a mobile application impacting functionality and user experience.  Issues include problems with address input, delivery, quantity updates, cart display, item descriptions, login, OTP, search, pricing, order completion, and UI/UX elements.",,Software Development,22-11-2024
6287,BMPM,BMPMS Weekly status call- iOrbit / Dr. Joze – 2024/09/27 15:58 IST – Transcript 2,https://docs.google.com/document/d/1hy9paA7EH9OL5wggNpAc6ogs2momvFyEIgjuVyP0heE/edit?usp=drivesdk,410,HTTP 410,"Weekly status call transcript focusing on iOrbit device disinfection procedures, temperature probe placement and readings (core vs. peripheral), and customizable alarm thresholds.  The presentation included photos and videos.",,Medical Device,22-11-2024
6669,General,work task from 24th May to July ,https://docs.google.com/spreadsheets/d/13JubssygC5fHQpBOZOEZt484aAal5mbhreSB9duWm28/edit?usp=drivesdk,410,HTTP 410,,,TempFiles,22-11-2024
7248,General,API Key Pricing Calc,https://docs.google.com/spreadsheets/d/1AoTIeAy_kKPy7HA8mCxXv45VkkJ0K5D51UVpgRVY19Q/edit?usp=drivesdk,410,HTTP 410,,Failed to extract text from Google Drive URL.,TempFiles,04-12-2024
7394,General,IO-80BEATS-FDD-001.docx,https://docs.google.com/document/d/1EEF3MHOkTP5U5VoCpF0h28Nww1ik4udK/edit?usp=drivesdk&ouid=114256007696078298953&rtpof=true&sd=true,410,HTTP 410,,Failed to extract text from Google Drive URL.,TempFiles,10-12-2024
7447,FDA iBSM Sibel App,scan-of-PRINTFILE-iBSM-RAC-01-A3Landscape-new [1]_merge 3,https://docs.google.com/document/d/1iHrXRSw2LyTehnuXhdYjAFtH-xkhXmXQpMzT0qbrNro/edit?usp=drivesdk,410,HTTP 410,"This document performs a risk analysis of the iBSM medical device, identifying hazards like skin irritation and electric shock. It assesses risks using a matrix, proposes mitigation strategies (design improvements, instructions, testing), and evaluates residual risk after implementing controls.",,Medical Device,12-12-2024
